language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=3.62 s (617.0 files/s 127375.8 lines/s)"
Python,./venv/lib/python3.14/site-packages/idna/uts46data.py,174,3,8664
Python,./venv/lib/python3.14/site-packages/pip/_vendor/idna/uts46data.py,170,3,8508
Python,./venv/lib/python3.14/site-packages/idna/idnadata.py,2,1,4306
Python,./venv/lib/python3.14/site-packages/pip/_vendor/idna/idnadata.py,1,1,4241
Python,./venv/lib/python3.14/site-packages/pip/_vendor/rich/_emoji_codes.py,0,0,3610
Python,./venv/lib/python3.14/site-packages/typing_extensions.py,734,1111,2472
Python,./venv/lib/python3.14/site-packages/anyio/_backends/_asyncio.py,511,134,2362
Python,./venv/lib/python3.14/site-packages/pydantic_core/core_schema.py,621,1481,2333
Python,./venv/lib/python3.14/site-packages/pip/_vendor/pkg_resources/__init__.py,668,835,2173
JavaScript,./.wrangler/tmp/pages-mvGjCh/functionsWorker-0.0337483946719801.js,15,42,2151
JavaScript,./.wrangler/tmp/pages-pUjwZt/functionsWorker-0.5864543095429661.js,15,42,2151
Python,./venv/lib/python3.14/site-packages/pydantic/_internal/_generate_schema.py,387,341,2139
Python,./.venv/lib/python3.14/site-packages/attr/_make.py,574,745,2043
Python,./.venv/lib/python3.14/site-packages/charset_normalizer/constant.py,25,11,1979
JavaScript,./.wrangler/tmp/pages-xCjjWl/functionsWorker-0.9601569770810449.js,13,37,1941
Python,./venv/lib/python3.14/site-packages/openai/resources/beta/threads/runs/runs.py,353,951,1824
Python,./venv/lib/python3.14/site-packages/openai/resources/responses/responses.py,465,1262,1727
Python,./venv/lib/python3.14/site-packages/pip/_vendor/rich/console.py,379,598,1703
Python,./venv/lib/python3.14/site-packages/openai/_base_client.py,322,181,1530
Python,./venv/lib/python3.14/site-packages/pydantic/json_schema.py,521,874,1459
Python,./venv/lib/python3.14/site-packages/httpx/_client.py,249,337,1433
Python,./venv/lib/python3.14/site-packages/pip/_vendor/distlib/util.py,294,317,1373
Python,./.venv/lib/python3.14/site-packages/aiohttp/client.py,193,147,1295
Python,./.venv/lib/python3.14/site-packages/aiohttp/connector.py,257,308,1269
Python,./venv/lib/python3.14/site-packages/pydantic/types.py,676,1373,1246
Python,./venv/lib/python3.14/site-packages/openai/resources/chat/completions/completions.py,528,1411,1210
Python,./venv/lib/python3.14/site-packages/pip/_vendor/rich/progress.py,259,332,1124
Python,./venv/lib/python3.14/site-packages/pydantic/main.py,261,463,1095
Python,./venv/lib/python3.14/site-packages/anyio/_backends/_trio.py,262,32,1090
Python,./venv/lib/python3.14/site-packages/pydantic/fields.py,250,494,1090
Python,./.venv/lib/python3.14/site-packages/aiohttp/client_reqrep.py,233,225,1078
Python,./venv/lib/python3.14/site-packages/openai/resources/beta/threads/threads.py,259,661,1015
Python,./.venv/lib/python3.14/site-packages/multidict/_multidict_py.py,184,57,1001
Python,./.venv/lib/python3.14/site-packages/yarl/_url.py,253,372,997
Python,./.venv/lib/python3.14/site-packages/urllib3/response.py,213,293,970
Python,./.venv/lib/python3.14/site-packages/aiohttp/web_urldispatcher.py,253,97,955
Python,./venv/lib/python3.14/site-packages/pip/_vendor/pygments/lexers/python.py,72,176,953
Python,./venv/lib/python3.14/site-packages/pydantic/v1/fields.py,141,160,952
JavaScript,./.wrangler/tmp/pages-ACf2Pw/functionsWorker-0.3960741184604192.js,7,18,943
